batch_size,learning_rate,split_count,cnt_min,cnt_max,embedding_dim,category_embedding_dim,hidden_size,checkpoint,epoch_num,accuracy,early_stop_epoch,hidden_size,metric_rankme,metric_coherence,metric_pseudo_condition_number,metric_alpha_req,metric_stable_rank,metric_ne_sum,metric_self_clustering,metric_ripser,time_rankme,time_coherence,time_pseudo_condition_number,time_alpha_req,time_stable_rank,time_ne_sum,time_self_clustering,time_ripser
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=00.ckpt,0,0.48388888888888887,9,128,34.2275,3.0399,0.0002,4.7324,1.1623,5.9747,0.7406,-1073.7821,0.0005,0.0002,0.0,0.0008,0.0013,0.0035,0.0036,0.2411
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=01.ckpt,1,0.5063888888888889,9,128,36.2377,2.6016,0.0001,5.275,1.1497,6.3498,0.7561,-1274.0759,0.0001,0.0001,0.0,0.0002,0.0001,0.0019,0.0014,0.2398
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=02.ckpt,2,0.51,9,128,37.8745,2.7463,0.0,5.678,1.153,6.4006,0.7519,-1360.1169,0.0001,0.0001,0.0,0.0002,0.0001,0.0019,0.0015,0.2663
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=03.ckpt,3,0.5180555555555556,9,128,40.4642,2.7108,0.0001,5.513,1.1652,6.8792,0.736,-1447.617,0.0001,0.0001,0.0,0.0002,0.0001,0.002,0.0016,0.2552
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=04.ckpt,4,0.5219444444444444,9,128,40.7342,3.5335,0.0,5.8032,1.1613,6.659,0.7413,-1461.4042,0.0001,0.0001,0.0,0.0002,0.0001,0.0019,0.0015,0.2372
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=05.ckpt,5,0.5183333333333333,9,128,40.9739,3.4657,0.0,5.9369,1.1589,6.2637,0.7443,-1472.8625,0.0001,0.0001,0.0,0.0002,0.0001,0.0019,0.0014,0.24
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=06.ckpt,6,0.5258333333333334,9,128,43.1079,3.8695,0.0,5.67,1.1828,6.7594,0.7146,-1539.3267,0.0001,0.0001,0.0,0.0002,0.0001,0.0019,0.0014,0.2314
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=07.ckpt,7,0.5408333333333334,9,128,42.5167,4.2387,0.0,5.5573,1.1704,7.0273,0.7298,-1534.6287,0.0001,0.0001,0.0,0.0002,0.0001,0.0019,0.0014,0.2359
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=08.ckpt,8,0.5272222222222223,9,128,42.9645,4.203,0.0,5.9387,1.1785,5.3832,0.7201,-1528.6081,0.0001,0.0001,0.0,0.0002,0.0001,0.002,0.0016,0.2454
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=09.ckpt,9,0.5344444444444445,9,128,42.8885,4.1397,0.0,5.8945,1.1742,6.9311,0.7246,-1544.7539,0.0001,0.0001,0.0,0.0002,0.0001,0.0019,0.0015,0.2391
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=10.ckpt,10,0.54,9,128,42.3091,4.2854,0.0,5.8167,1.1744,6.0295,0.7248,-1532.1272,0.0001,0.0001,0.0,0.0002,0.0001,0.0019,0.0014,0.2608
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=11.ckpt,11,0.5352777777777777,9,128,43.8629,4.1546,0.0,5.6578,1.1799,6.3052,0.7182,-1551.8856,0.0001,0.0001,0.0,0.0002,0.0001,0.002,0.0016,0.2382
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=12.ckpt,12,0.5288888888888889,9,128,44.4945,4.4456,0.0,5.7708,1.1833,6.2971,0.714,-1573.3376,0.0001,0.0001,0.0,0.0003,0.0001,0.0021,0.0016,0.2525
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=13.ckpt,13,0.5411111111111111,9,128,43.5987,4.4255,0.0,5.6789,1.1739,6.4493,0.7251,-1552.0278,0.0001,0.0001,0.0,0.0002,0.0001,0.0021,0.0016,0.2441
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=00.ckpt,0,0.4677777777777778,7,128,35.5947,3.4583,0.0011,4.253,1.1431,6.9849,0.7652,-881.97,0.0001,0.0001,0.0,0.0002,0.0001,0.002,0.0014,0.2219
