batch_size,learning_rate,split_count,cnt_min,cnt_max,embedding_dim,category_embedding_dim,hidden_size,checkpoint,epoch_num,accuracy,early_stop_epoch,hidden_size,metric_rankme,metric_coherence,metric_pseudo_condition_number,metric_alpha_req,metric_stable_rank,metric_ne_sum,metric_self_clustering,metric_ripser,std_metric_rankme,std_metric_coherence,std_metric_pseudo_condition_number,std_metric_alpha_req,std_metric_stable_rank,std_metric_ne_sum,std_metric_self_clustering,std_metric_ripser,time_rankme,time_coherence,time_pseudo_condition_number,time_alpha_req,time_stable_rank,time_ne_sum,time_self_clustering,time_ripser,std_time_rankme,std_time_coherence,std_time_pseudo_condition_number,std_time_alpha_req,std_time_stable_rank,std_time_ne_sum,std_time_self_clustering,std_time_ripser
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=00.ckpt,0,0.505,13,128,32.7402,2.6043,0.0002,4.4834,1.1218,6.0793,0.7945,-947.8171,0.1436,0.2052,0.0,0.0136,0.0014,0.2591,0.0019,3.5537,0.0005,0.0001,0.0,0.0009,0.0011,0.0028,0.0036,0.1968,0.0012,0.0,0.0,0.0021,0.0028,0.003,0.0066,0.0159
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=01.ckpt,1,0.49972222222222223,13,128,33.6655,2.5661,0.0001,5.0806,1.1165,6.6947,0.8017,-1140.3339,0.0924,0.3462,0.0,0.0159,0.0009,0.2687,0.0013,5.1995,0.0001,0.0001,0.0,0.0002,0.0001,0.0016,0.0013,0.2103,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0176
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=02.ckpt,2,0.5194444444444445,13,128,37.0487,2.5964,0.0001,5.4424,1.1293,6.769,0.7835,-1275.9854,0.1064,0.3244,0.0,0.0229,0.0011,0.3117,0.0015,6.0096,0.0001,0.0001,0.0,0.0002,0.0001,0.0017,0.0013,0.2026,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0127
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=03.ckpt,3,0.5044444444444445,13,128,38.652,3.1949,0.0,5.8872,1.1408,7.524,0.7675,-1369.1481,0.1127,0.3794,0.0,0.0279,0.0012,0.3254,0.0015,4.3484,0.0001,0.0001,0.0,0.0002,0.0001,0.0017,0.0013,0.2101,0.0,0.0,0.0,0.0,0.0,0.0002,0.0001,0.0122
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=04.ckpt,4,0.5297222222222222,13,128,39.7327,3.5537,0.0,5.82,1.148,6.7314,0.758,-1439.889,0.1255,0.5119,0.0,0.0325,0.0018,0.2209,0.0023,6.8062,0.0001,0.0001,0.0,0.0002,0.0001,0.0017,0.0013,0.2078,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0193
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=05.ckpt,5,0.5430555555555555,13,128,39.5207,3.7222,0.0,6.1096,1.1472,6.3859,0.7592,-1450.8501,0.1556,0.5836,0.0,0.0474,0.0015,0.3116,0.0018,5.8262,0.0001,0.0001,0.0,0.0002,0.0001,0.0017,0.0013,0.2022,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.015
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=06.ckpt,6,0.5408333333333334,13,128,40.5403,4.2413,0.0,6.2536,1.1479,6.6611,0.7577,-1497.819,0.1718,0.3154,0.0,0.0624,0.0016,0.2952,0.0021,5.7272,0.0001,0.0001,0.0,0.0002,0.0001,0.0016,0.0012,0.2046,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0201
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=07.ckpt,7,0.5283333333333333,13,128,39.9676,4.3002,0.0,6.458,1.1505,6.2918,0.7542,-1489.6116,0.1692,0.2787,0.0,0.0645,0.0018,0.3627,0.0024,5.5896,0.0001,0.0001,0.0,0.0002,0.0001,0.0017,0.0013,0.1995,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0247
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=08.ckpt,8,0.5255555555555556,13,128,39.2196,4.2326,0.0,6.4494,1.1374,6.3341,0.7719,-1467.2506,0.176,0.2893,0.0,0.0518,0.0012,0.254,0.0016,6.5804,0.0001,0.0001,0.0,0.0002,0.0001,0.0017,0.0012,0.202,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0182
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=09.ckpt,9,0.5361111111111111,13,128,37.5882,3.9486,0.0,6.6377,1.1276,6.6781,0.7857,-1440.1417,0.1638,0.4838,0.0,0.0469,0.001,0.2577,0.0013,3.5355,0.0001,0.0001,0.0,0.0002,0.0001,0.0017,0.0013,0.2033,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0152
