batch_size,learning_rate,split_count,cnt_min,cnt_max,embedding_dim,category_embedding_dim,hidden_size,checkpoint,epoch_num,accuracy,early_stop_epoch,hidden_size,metric_rankme,metric_coherence,metric_pseudo_condition_number,metric_alpha_req,metric_stable_rank,metric_ne_sum,metric_self_clustering,metric_ripser,time_rankme,time_coherence,time_pseudo_condition_number,time_alpha_req,time_stable_rank,time_ne_sum,time_self_clustering,time_ripser
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=00.ckpt,0,0.4589726484322882,13,128,32.2098,10.0103,0.0002,4.3581,1.1305,5.3844,0.783,-9503.6139,0.0042,0.0106,0.0,0.0079,0.0074,0.0182,0.2137,62.0546
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=01.ckpt,1,0.5056704469646431,13,128,36.7572,6.9066,0.0001,4.4871,1.144,6.1056,0.7638,-11830.4549,0.0001,0.0015,0.0,0.0004,0.0013,0.005,0.1903,57.277
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=02.ckpt,2,0.5116744496330887,13,128,39.678,6.3293,0.0001,4.5825,1.1462,7.1027,0.7606,-13286.4993,0.0001,0.0011,0.0,0.0002,0.001,0.005,0.2049,60.7591
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=03.ckpt,3,0.5476984656437625,13,128,40.4586,4.6138,0.0,4.8995,1.1523,6.7142,0.7532,-14354.9215,0.0001,0.0013,0.0,0.0004,0.0014,0.0053,0.1912,71.6489
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=04.ckpt,4,0.5350233488992662,13,128,40.4199,5.892,0.0,5.0829,1.1458,7.3894,0.7614,-14766.499,0.0001,0.0014,0.0,0.0003,0.0011,0.005,0.1881,73.8535
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=05.ckpt,5,0.52368245496998,13,128,42.8794,8.1318,0.0,5.1161,1.1639,7.744,0.7383,-15840.3399,0.0001,0.0014,0.0,0.0003,0.0011,0.0052,0.1917,68.0123
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=06.ckpt,6,0.5356904603068713,13,128,41.2081,6.6447,0.0,5.2896,1.1477,7.2397,0.7591,-15623.1707,0.0001,0.0011,0.0,0.0002,0.001,0.0047,0.1877,75.6321
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=07.ckpt,7,0.5376917945296864,13,128,40.8319,6.0984,0.0,5.3981,1.1529,6.8949,0.7523,-15736.821,0.0001,0.0014,0.0,0.0004,0.0014,0.0053,0.1918,60.6682
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=08.ckpt,8,0.5323549032688459,13,128,41.7192,7.6573,0.0,5.3774,1.1596,7.3261,0.7436,-16306.755,0.0001,0.0013,0.0,0.0003,0.0009,0.0048,0.1871,65.126
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=09.ckpt,9,0.5390260173448966,13,128,42.2878,9.316,0.0,5.5777,1.1588,7.0822,0.7445,-16628.0844,0.0001,0.0012,0.0,0.0003,0.0012,0.0047,0.1877,65.0226
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=10.ckpt,10,0.5370246831220814,13,128,43.208,9.3663,0.0,5.2513,1.1626,7.2595,0.7399,-16637.1038,0.0001,0.0014,0.0,0.0003,0.0014,0.0053,0.2012,63.4341
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=11.ckpt,11,0.5323549032688459,13,128,41.8044,23.928,0.0,5.3063,1.15,7.3444,0.7561,-16260.5662,0.0001,0.0015,0.0,0.0004,0.0015,0.0055,0.1919,63.5216
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=12.ckpt,12,0.5210140093395597,13,128,43.2151,10.8609,0.0,5.2116,1.1661,7.4931,0.7358,-16848.1664,0.0001,0.001,0.0,0.0003,0.0009,0.005,0.1925,72.9186
