batch_size,learning_rate,split_count,cnt_min,cnt_max,checkpoint,epoch_num,accuracy,metric_rankme,metric_coherence,metric_pseudo_condition_number,metric_alpha_req,metric_stable_rank,metric_ne_sum,metric_self_clustering,metric_ripser,time_rankme,time_coherence,time_pseudo_condition_number,time_alpha_req,time_stable_rank,time_ne_sum,time_self_clustering,time_ripser
64,0.001,3,10,50,checkpoints/model_64_0.001_3_10_50epoch=00.ckpt,0,0.7065989847715736,120.5284,16.1159,0.0001,3.8911,1.1609,16.0937,0.7427,-21010.5447,0.0002,0.0031,0.0,0.0005,0.0021,0.0191,0.2315,17.8327
64,0.001,3,10,50,checkpoints/model_64_0.001_3_10_50epoch=01.ckpt,1,0.6934010152284263,121.4695,14.0342,0.0001,3.9058,1.1601,16.2071,0.7435,-21385.859,0.0002,0.0028,0.0,0.0004,0.002,0.0164,0.2236,18.4133
64,0.001,3,10,50,checkpoints/model_64_0.001_3_10_50epoch=02.ckpt,2,0.7147208121827411,121.5673,14.1914,0.0001,3.8624,1.1566,17.3416,0.7478,-21528.6814,0.0002,0.0028,0.0,0.0004,0.0021,0.0176,0.224,17.1193
64,0.001,3,10,50,checkpoints/model_64_0.001_3_10_50epoch=03.ckpt,3,0.7045685279187818,122.7735,19.1663,0.0001,3.7997,1.1627,16.1384,0.74,-21945.3975,0.0002,0.0027,0.0,0.0004,0.002,0.0171,0.2251,18.277
64,0.001,3,10,50,checkpoints/model_64_0.001_3_10_50epoch=04.ckpt,4,0.6994923857868021,121.4582,13.766,0.0001,3.8906,1.1547,16.44,0.7502,-21806.9621,0.0002,0.0027,0.0,0.0004,0.002,0.0168,0.2238,17.4034
64,0.001,3,10,100,checkpoints/model_64_0.001_3_10_100epoch=00.ckpt,0,0.716751269035533,124.4587,10.0471,0.0003,3.7677,1.1778,15.7232,0.7213,-22534.5386,0.0002,0.0028,0.0,0.0004,0.002,0.0173,0.2273,18.4928
64,0.001,3,10,100,checkpoints/model_64_0.001_3_10_100epoch=01.ckpt,1,0.7126903553299493,123.505,18.6078,0.0003,3.7994,1.1738,16.7078,0.7264,-22261.2827,0.0002,0.0027,0.0,0.0004,0.002,0.0182,0.2244,18.9955
64,0.001,3,10,100,checkpoints/model_64_0.001_3_10_100epoch=02.ckpt,2,0.7137055837563452,124.159,17.0234,0.0004,3.7302,1.1764,15.4959,0.723,-22347.5344,0.0002,0.0027,0.0,0.0004,0.002,0.0168,0.2247,20.222
64,0.001,3,10,100,checkpoints/model_64_0.001_3_10_100epoch=03.ckpt,3,0.7187817258883249,123.1576,9.6729,0.0003,3.8511,1.1738,15.5154,0.7261,-22378.0497,0.0001,0.0024,0.0,0.0003,0.0018,0.0156,0.2616,18.9081
64,0.001,3,10,100,checkpoints/model_64_0.001_3_10_100epoch=04.ckpt,4,0.6964467005076143,122.3397,10.5345,0.0003,3.7838,1.1637,17.3224,0.7386,-22150.0372,0.0002,0.003,0.0,0.0004,0.0021,0.0188,0.2333,18.5587
64,0.001,3,25,50,checkpoints/model_64_0.001_3_25_50epoch=00.ckpt,0,0.7319796954314721,123.08,9.8088,0.0004,3.7952,1.1653,17.1111,0.7365,-22356.1054,0.0002,0.0029,0.0,0.0005,0.0021,0.0167,0.2232,18.4056
64,0.001,3,25,50,checkpoints/model_64_0.001_3_25_50epoch=01.ckpt,1,0.7157360406091371,122.1976,11.0078,0.0004,3.8242,1.1602,18.1485,0.7425,-22531.5751,0.0002,0.0053,0.0,0.0004,0.0046,0.0333,0.2751,19.3935
64,0.001,3,25,50,checkpoints/model_64_0.001_3_25_50epoch=02.ckpt,2,0.7228426395939086,123.1028,19.8772,0.0003,3.7842,1.1617,16.9531,0.7409,-22141.4333,0.0002,0.0028,0.0,0.0004,0.0021,0.0179,0.2236,22.1964
64,0.001,3,25,50,checkpoints/model_64_0.001_3_25_50epoch=03.ckpt,3,0.7187817258883249,123.3045,10.4834,0.0004,3.8441,1.1633,18.0148,0.739,-22452.6747,0.0001,0.0027,0.0,0.0004,0.002,0.0174,0.2253,22.3076
64,0.001,3,25,50,checkpoints/model_64_0.001_3_25_50epoch=04.ckpt,4,0.7228426395939086,124.4773,10.1043,0.0003,3.8167,1.17,17.8685,0.7302,-22992.7053,0.0002,0.0028,0.0,0.0004,0.002,0.0165,0.2266,18.6805
64,0.001,3,25,100,checkpoints/model_64_0.001_3_25_100epoch=00.ckpt,0,0.7137055837563452,124.2336,19.2053,0.0005,3.7056,1.1717,16.7237,0.728,-22509.1347,0.0002,0.0034,0.0,0.0004,0.002,0.0172,0.2256,18.7958
64,0.001,3,25,100,checkpoints/model_64_0.001_3_25_100epoch=01.ckpt,1,0.7208121827411168,123.063,12.6127,0.0005,3.7546,1.1711,16.669,0.7291,-22268.1911,0.0002,0.0026,0.0,0.0004,0.0021,0.0238,0.2915,19.4741
64,0.001,3,25,100,checkpoints/model_64_0.001_3_25_100epoch=02.ckpt,2,0.7441624365482233,122.0266,21.0213,0.0005,3.7364,1.166,16.1133,0.7352,-21972.4673,0.0002,0.0048,0.0,0.0003,0.002,0.0169,0.2259,21.5039
64,0.001,3,25,100,checkpoints/model_64_0.001_3_25_100epoch=03.ckpt,3,0.7157360406091371,124.0251,19.6123,0.0005,3.6495,1.175,16.6838,0.7237,-22402.1919,0.0002,0.0029,0.0,0.0004,0.002,0.0171,0.2298,19.9362
64,0.001,3,25,100,checkpoints/model_64_0.001_3_25_100epoch=04.ckpt,4,0.7147208121827411,122.7072,18.6742,0.0005,3.7572,1.1713,15.9936,0.7283,-22363.387,0.0002,0.0027,0.0,0.0004,0.002,0.0173,0.2385,19.9265
64,0.001,5,10,50,checkpoints/model_64_0.001_5_10_50epoch=00.ckpt,0,0.7015228426395939,115.9138,13.455,0.0003,3.9709,1.1317,20.46,0.7808,-21404.4888,0.0002,0.0027,0.0,0.0004,0.0019,0.0177,0.2281,21.3537
64,0.001,5,10,50,checkpoints/model_64_0.001_5_10_50epoch=01.ckpt,1,0.6974619289340102,113.9409,13.6203,0.0002,4.0557,1.1275,19.2844,0.7866,-21308.9184,0.0002,0.0027,0.0,0.0004,0.002,0.0163,0.2223,18.2152
64,0.001,5,10,50,checkpoints/model_64_0.001_5_10_50epoch=02.ckpt,2,0.7086294416243655,114.1287,22.0987,0.0002,4.0861,1.1233,19.8457,0.7924,-21254.3389,0.0002,0.0029,0.0,0.0004,0.002,0.0182,0.2398,17.4362
