batch_size,learning_rate,split_count,cnt_min,cnt_max,embedding_dim,category_embedding_dim,checkpoint,epoch_num,accuracy,topk_accuracy,early_stop_epoch,hidden_size,metric_rankme,metric_coherence,metric_pseudo_condition_number,metric_alpha_req,metric_stable_rank,metric_ne_sum,metric_self_clustering,metric_ripser,time_rankme,time_coherence,time_pseudo_condition_number,time_alpha_req,time_stable_rank,time_ne_sum,time_self_clustering,time_ripser
32,0.002282927793752853,2,20,50,16,16,checkpoints/model_rankme_optuna_trial_0_epoch=epoch=00.ckpt,0,0.594159113796576,0.18359375,9,64,31.5926,,,,,,,,0.0002,,,,,,,
32,0.002282927793752853,2,20,50,16,16,checkpoints/model_rankme_optuna_trial_0_epoch=epoch=01.ckpt,1,0.6324269889224572,0.19396552443504333,9,64,33.7874,,,,,,,,0.0001,,,,,,,
32,0.002282927793752853,2,20,50,16,16,checkpoints/model_rankme_optuna_trial_0_epoch=epoch=02.ckpt,2,0.6445115810674723,0.1963900923728943,9,64,33.4744,,,,,,,,0.0001,,,,,,,
32,0.002282927793752853,2,20,50,16,16,checkpoints/model_rankme_optuna_trial_0_epoch=epoch=03.ckpt,3,0.648539778449144,0.19665947556495667,9,64,33.7992,,,,,,,,0.0001,,,,,,,
32,0.002282927793752853,2,20,50,16,16,checkpoints/model_rankme_optuna_trial_0_epoch=epoch=04.ckpt,4,0.6626384692849949,0.20245151221752167,9,64,34.3802,,,,,,,,0.0001,,,,,,,
32,0.002282927793752853,2,20,50,16,16,checkpoints/model_rankme_optuna_trial_0_epoch=epoch=05.ckpt,5,0.6807653575025177,0.20245151221752167,9,64,34.588,,,,,,,,0.0001,,,,,,,
32,0.002282927793752853,2,20,50,16,16,checkpoints/model_rankme_optuna_trial_0_epoch=epoch=06.ckpt,6,0.6727089627391742,0.20824353396892548,9,64,34.3067,,,,,,,,0.0001,,,,,,,
32,0.002282927793752853,2,20,50,16,16,checkpoints/model_rankme_optuna_trial_0_epoch=epoch=07.ckpt,7,0.6737160120845922,0.2020474076271057,9,64,34.3396,,,,,,,,0.0001,,,,,,,
32,0.002282927793752853,2,20,50,16,16,checkpoints/model_rankme_optuna_trial_0_epoch=epoch=08.ckpt,8,0.6908358509566969,0.20056572556495667,9,64,34.5044,,,,,,,,0.0001,,,,,,,
32,0.002282927793752853,2,20,50,16,16,checkpoints/model_rankme_optuna_trial_0_epoch=epoch=09.ckpt,9,0.7049345417925479,0.2099946141242981,9,64,33.4232,,,,,,,,0.0002,,,,,,,
32,0.002282927793752853,2,20,50,16,16,checkpoints/model_rankme_optuna_trial_0_epoch=epoch=10.ckpt,10,0.6898288016112789,0.20245151221752167,9,64,33.9292,,,,,,,,0.0001,,,,,,,
32,0.002282927793752853,2,20,50,16,16,checkpoints/model_rankme_optuna_trial_0_epoch=epoch=11.ckpt,11,0.6847935548841894,0.2128232717514038,9,64,33.9665,,,,,,,,0.0001,,,,,,,
32,0.002282927793752853,2,20,50,16,16,checkpoints/model_rankme_optuna_trial_0_epoch=epoch=12.ckpt,12,0.6948640483383686,0.21012930572032928,9,64,33.8901,,,,,,,,0.0001,,,,,,,
32,0.002282927793752853,2,20,50,16,16,checkpoints/model_rankme_optuna_trial_0_epoch=epoch=13.ckpt,13,0.7119838872104733,0.21161098778247833,9,64,33.5658,,,,,,,,0.0001,,,,,,,
32,0.0010282833301447222,3,10,80,8,16,checkpoints/model_rankme_optuna_trial_1_epoch=epoch=00.ckpt,0,0.6072507552870091,0.32273706793785095,24,64,31.1016,,,,,,,,0.0002,,,,,,,
32,0.0010282833301447222,3,10,80,8,16,checkpoints/model_rankme_optuna_trial_1_epoch=epoch=01.ckpt,1,0.6636455186304129,0.3488086462020874,24,64,32.5549,,,,,,,,0.0001,,,,,,,
32,0.0010282833301447222,3,10,80,8,16,checkpoints/model_rankme_optuna_trial_1_epoch=epoch=02.ckpt,2,0.6958710976837865,0.37598779797554016,24,64,31.7445,,,,,,,,0.0001,,,,,,,
32,0.0010282833301447222,3,10,80,8,16,checkpoints/model_rankme_optuna_trial_1_epoch=epoch=03.ckpt,3,0.6908358509566969,0.3865242004394531,24,64,31.8859,,,,,,,,0.0002,,,,,,,
32,0.0010282833301447222,3,10,80,8,16,checkpoints/model_rankme_optuna_trial_1_epoch=epoch=04.ckpt,4,0.6918429003021148,0.38406965136528015,24,64,31.9435,,,,,,,,0.0001,,,,,,,
32,0.0010282833301447222,3,10,80,8,16,checkpoints/model_rankme_optuna_trial_1_epoch=epoch=05.ckpt,5,0.6978851963746223,0.3983476459980011,24,64,32.0656,,,,,,,,0.0002,,,,,,,
32,0.0010282833301447222,3,10,80,8,16,checkpoints/model_rankme_optuna_trial_1_epoch=epoch=06.ckpt,6,0.7109768378650554,0.39047539234161377,24,64,31.882,,,,,,,,0.0002,,,,,,,
32,0.0010282833301447222,3,10,80,8,16,checkpoints/model_rankme_optuna_trial_1_epoch=epoch=07.ckpt,7,0.7059415911379657,0.39529454708099365,24,64,32.0508,,,,,,,,0.0001,,,,,,,
32,0.0010282833301447222,3,10,80,8,16,checkpoints/model_rankme_optuna_trial_1_epoch=epoch=08.ckpt,8,0.702920443101712,0.402358740568161,24,64,32.3477,,,,,,,,0.0002,,,,,,,
