batch_size,learning_rate,split_count,cnt_min,cnt_max,checkpoint,epoch_num,accuracy,metric_rankme,metric_coherence,metric_pseudo_condition_number,metric_alpha_req,metric_stable_rank,metric_ne_sum,metric_self_clustering,metric_ripser,time_rankme,time_coherence,time_pseudo_condition_number,time_alpha_req,time_stable_rank,time_ne_sum,time_self_clustering,time_ripser
64,0.001,3,10,50,checkpoints/model_64_0.001_3_10_50epoch=00.ckpt,0,0.6763236763236763,113.3596,21.5829,0.0,4.0156,1.172,14.2457,0.7296,-18615.4272,0.0002,0.0028,0.0,0.0004,0.002,0.0174,0.2245,18.2742
64,0.001,3,10,50,checkpoints/model_64_0.001_3_10_50epoch=01.ckpt,1,0.6863136863136863,118.4591,13.5873,0.0,4.0299,1.184,14.8692,0.7147,-19730.67,0.0002,0.0029,0.0,0.0004,0.0019,0.0177,0.2377,19.067
64,0.001,3,10,50,checkpoints/model_64_0.001_3_10_50epoch=02.ckpt,2,0.6753246753246753,120.5573,11.2083,0.0,3.9385,1.179,15.6311,0.7204,-20161.1563,0.0002,0.0028,0.0,0.0004,0.002,0.0174,0.2266,19.1626
64,0.001,3,10,50,checkpoints/model_64_0.001_3_10_50epoch=03.ckpt,3,0.6793206793206793,119.66,21.2075,0.0,4.0137,1.1735,15.5817,0.727,-20422.3947,0.0002,0.0026,0.0,0.0004,0.0021,0.0178,0.2268,19.2917
64,0.001,3,10,50,checkpoints/model_64_0.001_3_10_50epoch=04.ckpt,4,0.6783216783216783,123.0901,22.3658,0.0,3.896,1.1819,15.1421,0.7165,-21110.1622,0.0002,0.0026,0.0,0.0004,0.0018,0.0169,0.2231,21.6244
64,0.001,3,10,100,checkpoints/model_64_0.001_3_10_100epoch=00-v1.ckpt,0,0.7022977022977023,123.4907,19.8603,0.0003,3.8182,1.1915,14.4969,0.7051,-21129.9949,0.0002,0.0027,0.0,0.0004,0.0028,0.0171,0.2255,20.598
64,0.001,3,10,100,checkpoints/model_64_0.001_3_10_100epoch=00.ckpt,1,0.6993006993006993,111.9786,18.3017,0.0001,3.8889,1.1992,13.5297,0.6979,-18077.9512,0.0002,0.0029,0.0,0.0004,0.002,0.0167,0.2243,19.3853
64,0.001,3,10,100,checkpoints/model_64_0.001_3_10_100epoch=01.ckpt,2,0.7122877122877123,122.049,10.0112,0.0004,3.8274,1.1801,15.4952,0.7186,-20979.375,0.0002,0.0026,0.0,0.0004,0.0019,0.016,0.2214,18.8969
64,0.001,3,10,100,checkpoints/model_64_0.001_3_10_100epoch=02.ckpt,3,0.7072927072927073,124.221,12.7536,0.0004,3.793,1.1887,15.1047,0.7083,-21618.8251,0.0002,0.0026,0.0,0.0004,0.0019,0.017,0.2248,20.3681
64,0.001,3,10,100,checkpoints/model_64_0.001_3_10_100epoch=03.ckpt,4,0.7072927072927073,123.3771,10.4512,0.0004,3.8065,1.1861,14.9619,0.7112,-21391.403,0.0002,0.0026,0.0,0.0004,0.0019,0.0165,0.2237,21.1596
64,0.001,3,10,100,checkpoints/model_64_0.001_3_10_100epoch=04.ckpt,5,0.6793206793206793,121.5213,13.2298,0.0004,3.8488,1.1767,15.8324,0.7226,-21284.8413,0.0002,0.0027,0.0,0.0004,0.0018,0.0181,0.2414,22.5781
64,0.001,3,25,50,checkpoints/model_64_0.001_3_25_50epoch=00.ckpt,0,0.7022977022977023,121.5328,19.9479,0.0004,3.8447,1.171,15.6029,0.7293,-21313.1533,0.0002,0.0029,0.0,0.0004,0.0019,0.0191,0.2287,20.3981
64,0.001,3,25,50,checkpoints/model_64_0.001_3_25_50epoch=01.ckpt,1,0.7012987012987013,124.8353,10.6173,0.0004,3.77,1.1861,15.9038,0.7108,-21970.0138,0.0002,0.0028,0.0,0.0003,0.0019,0.0177,0.2265,21.175
64,0.001,3,25,50,checkpoints/model_64_0.001_3_25_50epoch=02.ckpt,2,0.6973026973026973,123.9823,12.1301,0.0003,3.8025,1.181,16.0223,0.7166,-22073.2784,0.0002,0.0027,0.0,0.0014,0.0018,0.0168,0.2215,19.7904
64,0.001,3,25,50,checkpoints/model_64_0.001_3_25_50epoch=03.ckpt,3,0.6863136863136863,125.085,11.0881,0.0004,3.7788,1.1859,15.9415,0.7106,-22219.6625,0.0002,0.0025,0.0,0.0004,0.002,0.0173,0.2273,20.2627
64,0.001,3,25,50,checkpoints/model_64_0.001_3_25_50epoch=04.ckpt,4,0.6913086913086913,123.9069,11.3787,0.0003,3.7785,1.1755,16.5999,0.7233,-22018.0376,0.0001,0.0027,0.0,0.0004,0.0019,0.0174,0.2267,20.3178
64,0.001,3,25,100,checkpoints/model_64_0.001_3_25_100epoch=00.ckpt,0,0.6763236763236763,126.6306,11.1895,0.0005,3.6845,1.1982,14.9362,0.6959,-22159.8518,0.0002,0.0028,0.0,0.0004,0.0022,0.0246,0.2826,23.3028
