batch_size,learning_rate,split_count,cnt_min,cnt_max,embedding_dim,category_embedding_dim,checkpoint,epoch_num,accuracy,topk_accuracy,early_stop_epoch,hidden_size,metric_rankme,metric_coherence,metric_pseudo_condition_number,metric_alpha_req,metric_stable_rank,metric_ne_sum,metric_self_clustering,metric_ripser,time_rankme,time_coherence,time_pseudo_condition_number,time_alpha_req,time_stable_rank,time_ne_sum,time_self_clustering,time_ripser
64,0.014984720453736125,5,20,50,16,16,checkpoints/model_optuna_trial_0_epoch=epoch=00-v1.ckpt,0,0.64,0.5988281965255737,30,64,26.6478,23.336,0.0,7.038,1.1278,7.5296,0.779,-2522.7126,0.0002,0.0008,0.0,0.0003,0.0008,0.0043,0.0173,0.8213
32,0.0006803749119180427,3,20,100,8,4,checkpoints/model_optuna_trial_0_epoch=epoch=00.ckpt,0,0.576,0.37457603216171265,30,128,42.3314,10.8256,0.003,3.7087,1.302,7.1578,0.6033,-2121.8694,0.0001,0.0008,0.0,0.0003,0.0008,0.0036,0.0142,1.3623
64,0.00013349933685557125,2,10,50,32,4,checkpoints/model_optuna_trial_0_epoch=epoch=00.ckpt,0,0.544,0.05513139069080353,26,64,28.7883,16.3918,0.0072,3.0504,1.1595,12.3049,0.7425,-990.4816,0.0001,0.0008,0.0,0.0004,0.0008,0.0027,0.0117,0.8177
64,0.00013349933685557125,2,10,50,32,4,checkpoints/model_optuna_trial_0_epoch=epoch=01.ckpt,1,0.552,0.07412996888160706,26,64,31.186,14.3192,0.0082,2.9671,1.1881,12.5293,0.7095,-1134.8896,0.0001,0.0007,0.0,0.0003,0.0007,0.0024,0.0127,0.9255
64,0.00013349933685557125,2,10,50,32,4,checkpoints/model_optuna_trial_0_epoch=epoch=02.ckpt,2,0.556,0.08797940611839294,26,64,32.6282,14.7279,0.0092,2.8404,1.2024,12.0617,0.6937,-1230.5122,0.0001,0.0003,0.0,0.0003,0.0002,0.0016,0.0123,0.9487
64,0.00013349933685557125,2,10,50,32,4,checkpoints/model_optuna_trial_0_epoch=epoch=03.ckpt,3,0.548,0.09392755478620529,26,64,33.507,9.9361,0.01,2.7677,1.2185,10.6019,0.6765,-1286.6916,0.0001,0.0003,0.0,0.0003,0.0008,0.0017,0.0124,0.8644
64,0.00013349933685557125,2,10,50,32,4,checkpoints/model_optuna_trial_0_epoch=epoch=04.ckpt,4,0.536,0.10901988297700882,26,64,34.3968,13.5712,0.0107,2.6636,1.2322,9.504,0.6632,-1338.057,0.0001,0.0002,0.0,0.0003,0.0009,0.0024,0.0126,0.8567
64,0.00013349933685557125,2,10,50,32,4,checkpoints/model_optuna_trial_0_epoch=epoch=05.ckpt,5,0.58,0.11612215638160706,26,64,34.8181,9.7069,0.0113,2.614,1.24,9.9416,0.6551,-1373.185,0.0001,0.0007,0.0,0.0003,0.0001,0.0027,0.0161,0.8433
64,0.00013349933685557125,2,10,50,32,4,checkpoints/model_optuna_trial_0_epoch=epoch=06.ckpt,6,0.576,0.12064985930919647,26,64,34.7253,9.5333,0.0114,2.5715,1.2351,9.5854,0.6609,-1395.4549,0.0001,0.0007,0.0,0.0003,0.0001,0.0027,0.0125,0.8677
64,0.00013349933685557125,2,10,50,32,4,checkpoints/model_optuna_trial_0_epoch=epoch=07.ckpt,7,0.56,0.1287286877632141,26,64,35.3009,10.8552,0.012,2.5134,1.2433,9.8823,0.6535,-1430.1802,0.0001,0.0007,0.0,0.0003,0.0009,0.0018,0.0138,0.8377
64,0.00013349933685557125,2,10,50,32,4,checkpoints/model_optuna_trial_0_epoch=epoch=08.ckpt,8,0.54,0.130859375,26,64,35.7209,11.0128,0.0125,2.4841,1.2547,9.86,0.6425,-1467.0257,0.0001,0.0007,0.0,0.0003,0.0001,0.0022,0.0127,0.9519
64,0.00013349933685557125,2,10,50,32,4,checkpoints/model_optuna_trial_0_epoch=epoch=09.ckpt,9,0.544,0.13307882845401764,26,64,35.999,5.9467,0.0128,2.4818,1.2583,10.2561,0.6382,-1489.3132,0.0001,0.0003,0.0,0.0003,0.0007,0.0023,0.0122,0.8231
