batch_size,learning_rate,split_count,cnt_min,cnt_max,embedding_dim,category_embedding_dim,hidden_size,checkpoint,epoch_num,accuracy,early_stop_epoch,hidden_size,metric_rankme,metric_coherence,metric_pseudo_condition_number,metric_alpha_req,metric_stable_rank,metric_ne_sum,metric_self_clustering,metric_ripser,time_rankme,time_coherence,time_pseudo_condition_number,time_alpha_req,time_stable_rank,time_ne_sum,time_self_clustering,time_ripser
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=00.ckpt,0,0.68,8,128,31.4061,21.2417,0.0017,4.2445,1.2875,4.6891,0.6088,-3174.8346,0.0023,0.0006,0.0,0.0053,0.0026,0.0113,0.0684,5.6246
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=01.ckpt,1,0.7041860465116279,8,128,34.0286,17.9913,0.0017,4.181,1.2876,7.2715,0.6059,-3841.7036,0.0001,0.0006,0.0,0.0002,0.0004,0.0032,0.0637,6.4213
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=02.ckpt,2,0.7134883720930233,8,128,36.4858,13.062,0.0013,4.2157,1.261,6.1912,0.6224,-4421.2961,0.0001,0.0006,0.0,0.0002,0.0004,0.0031,0.0632,8.4828
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=03.ckpt,3,0.7274418604651163,8,128,36.6924,12.5789,0.001,4.2531,1.2237,7.2758,0.6645,-4734.2633,0.0001,0.0006,0.0,0.0002,0.0004,0.0032,0.0648,10.6926
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=04.ckpt,4,0.7190697674418605,8,128,39.0405,11.8048,0.0011,4.2221,1.2282,7.3416,0.6578,-5143.1358,0.0001,0.0006,0.0,0.0002,0.0004,0.0034,0.0601,11.1091
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=05.ckpt,5,0.695813953488372,8,128,38.3939,12.1073,0.0009,4.2668,1.2013,8.1045,0.6858,-5256.6882,0.0001,0.0005,0.0,0.0002,0.0004,0.0031,0.0608,10.5638
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=06.ckpt,6,0.7209302325581395,8,128,39.5955,10.8166,0.0009,4.3131,1.2011,8.3733,0.6861,-5548.7798,0.0001,0.0006,0.0,0.0002,0.0004,0.0034,0.0625,9.7213
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=07.ckpt,7,0.7255813953488373,8,128,39.8342,12.2556,0.0009,4.32,1.191,8.8254,0.6968,-5739.8261,0.0001,0.0006,0.0,0.0002,0.0004,0.0033,0.0605,10.1532
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=08.ckpt,8,0.7227906976744186,8,128,41.7332,11.3849,0.001,4.3369,1.2061,9.4841,0.6801,-6014.5036,0.0001,0.0007,0.0,0.0002,0.0004,0.0043,0.0665,10.7237
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=09.ckpt,9,0.7386046511627907,8,128,42.8246,13.0389,0.001,4.3529,1.2122,9.5266,0.6733,-6240.8757,0.0001,0.0005,0.0,0.0002,0.0004,0.0032,0.0622,12.6189
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=10.ckpt,10,0.7209302325581395,8,128,42.3739,12.0264,0.001,4.3389,1.2006,9.6615,0.6861,-6233.9615,0.0001,0.0004,0.0,0.0002,0.0003,0.003,0.0612,11.307
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=11.ckpt,11,0.7125581395348837,8,128,43.4438,13.6672,0.001,4.3225,1.2102,9.8687,0.6751,-6451.5479,0.0001,0.0007,0.0,0.0002,0.0005,0.0034,0.0637,12.925
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=12.ckpt,12,0.7274418604651163,8,128,43.2185,11.4815,0.001,4.3316,1.2025,9.2912,0.6839,-6342.3464,0.0001,0.0006,0.0,0.0002,0.0005,0.0034,0.0633,11.5833
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=00.ckpt,0,0.695813953488372,13,128,30.476,21.8113,0.0015,4.1933,1.2662,4.2176,0.6141,-3079.5405,0.0001,0.0005,0.0,0.0002,0.0004,0.0033,0.0633,5.4286
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=01.ckpt,1,0.7032558139534884,13,128,34.3296,20.0833,0.0019,4.1328,1.3165,4.7787,0.5835,-3515.6233,0.0001,0.0005,0.0,0.0002,0.0004,0.0031,0.0632,5.7564
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=02.ckpt,2,0.707906976744186,13,128,36.5194,17.1529,0.002,4.0558,1.292,6.8921,0.6005,-3956.2438,0.0001,0.0005,0.0,0.0002,0.0004,0.0032,0.0619,6.7942
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=03.ckpt,3,0.706046511627907,13,128,38.4779,15.901,0.002,4.0173,1.2911,5.7186,0.5983,-4449.5417,0.0001,0.0006,0.0,0.0002,0.0004,0.0035,0.0629,7.0989
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=04.ckpt,4,0.7190697674418605,13,128,38.3422,14.979,0.0018,4.0249,1.2576,6.3236,0.6281,-4622.2767,0.0001,0.0007,0.0,0.0002,0.0005,0.0036,0.0663,10.2918
